id,歌名,歌手,语种,主打歌,SC
1,"ワタシノテンシ","雨宫天","日语",0,0
2,"阳光开朗大男孩","卦者灵风","国语",1,0
3,"First Love","宇多田光","日语",0,0
4,"The job song","贝卡","英语",1,0
5,"Blank Space","Taylor Swift","英语",0,0
6,"Shake It Off","Taylor Swift","英语",0,0
7,"I Really Like You","Carly Rae Jepsen","英语",0,0
8,"We Don't Talk Anymore","Charlie Puth","英语",0,0
9,"fish in the pool","ヘクとパスカル","英语",0,0
10,"TIAN TIAN","Mili","英语",0,0
11,"半梦","ChiliChili","国语",0,0
12,"恋爱困难少女","ChiliChili","国语",0,0
13,"下等马","ChiliChill","国语",1,0
14,"芭蕉夜雨","ChiliChill","国语",0,0
15,"纯妹妹","单依纯","国语",1,0
16,"喂","单依纯","国语",0,0
17,"珠玉","单依纯","国语",0,0
18,"问题小孩","大耳朵图图","国语",0,0
19,"睨めっ娘","友成空","日语",0,0
20,"How crazy","YUI","日语",0,0
21,"キラキラの灰","リーガルリリー","日语",0,0
22,"プロポーズ","内緒のピアス/术力口","日语",0,0
23,"プロポーズ","なとり","日语",0,0
24,"形","ずっと真夜中でいいのに。","日语",0,0
25,"臙脂 ft. 重音テト","bk/术力口","日语",0,0
26,"フロントメモリー feat. ACAね(ずっと真夜中でいいのに。)","神聖かまってちゃん","日语",0,0
27,"我是你的小狗","西彬","国语",0,0
28,"Value","ado","日语",1,1
29,"海馬成長痛","ずっと真夜中でいいのに。","日语",1,0
30,"糸","Aimer","日语",0,0
31,"コイワズライ","Aimer","日语",0,0
32,"星屑ビーナス","Aimer","日语",1,0
33,"残響散歌","Aimer","日语",1,0
34,"ninelie","Aimer","日语",0,1
35,"Ref:rain","Aimer","日语",0,0
36,"アンビバレント","ヰ世界情緒","日语",0,1
37,"月 feat. ヰ世界情緒","ヰ世界情緒","日语",0,1
38,"僕らの記憶を掠わないで","ヰ世界情緒","日语",0,1
39,"蜜月アン・ドゥ・トロワ","ヰ世界情緒","日语",0,0
40,"描き続けた君へ","ヰ世界情緒","日语",0,0
41,"まつり","藤井风","日语",0,0
42,"満ちてゆく","藤井风","日语",0,0
43,"きらり","藤井风","日语",0,0
44,"花","藤井风","日语",1,0
45,"死ぬのがいいわ","藤井风","日语",0,0
46,"真っ白","藤井风","日语",1,0
47,"ダーリン","須田景凪","日语",0,0
48,"愛♡スクリ～ム！","AiScReam","日语",0,0
